ssn,phone,city,maritalstatus,fullname,birthdate
166-18-1635,(04)-9333-3997,El Paso (Texas),Common-Law,Meghan Ludwig,1976-01-19
320-60-1757,(04)-5002-9187,Tulsa (Oklahoma),Single,Alda White,1975-04-06
144-55-1423,(09)-1350-7414,Henderson (Nevada),Single,Marnie Crumley,1985-04-15
408-54-1732,(08)-5854-8640,Richmond (Virginia),Divorced,Rodney Renaud,1975-06-22
301-32-1006,(08)-8685-6362,Newark (New Jersey),Single,Emmett Dolin,1986-01-27
320-32-1043,(08)-3460-5867,Cleveland (Ohio),Divorced,Ricky Goldsmith,1971-04-25
339-51-1994,(09)-5050-5867,Las Vegas (Nevada),Divorced,Norman Gans,1989-09-27
224-46-1312,(09)-3949-2465,Honolulu (Hawaii),Single,Opal Chandler,1972-08-03
144-25-1061,(07)-7504-7414,Raleigh (North Carolina),Divorced,Fairy Glover,1971-09-17
238-99-1061,(04)-4858-5867,Baton Rouge (Louisiana),Married,Berry Stanton,1970-12-17
166-31-1519,(03)-7508-4394,Fremont (California),Divorced,Lorriane Lawlor,1985-07-06
116-32-1433,(03)-5794-7434,Columbus (Ohio),Married,Priscilla Timm,1981-11-01
339-25-1269,(07)-6473-4394,Charlotte (North Carolina),Single,Charles Mcneese,1969-04-18
216-81-1093,(09)-4858-4345,Anaheim (California),Single,Greg Castaneda,1973-02-26
166-54-1159,(07)-6486-2725,Milwaukee (Wisconsin),Single,Drucilla Sifford,1981-02-16
368-18-1315,(07)-5330-3262,Oakland (California),Single,Trenton Rosales,1983-08-14
339-32-1226,(08)-5002-3262,Portland (Oregon),Common-Law,Hoyt Kim,1977-01-05
320-60-1374,(07)-8685-2735,Washington (District of Columbia),Single,Karima Horta,1981-12-11
368-60-1163,(08)-7973-8968,Jacksonville (Florida),Divorced,Johnny Stookey,1989-04-18
216-93-1053,(07)-5794-6781,Denver (Colorado),Common-Law,Gale Burger,1990-06-22
144-31-1392,(03)-2298-7414,St. Petersburg (Florida),Common-Law,Christine Stephenson,1984-01-08
320-31-1224,(04)-7973-5970,Las Vegas (Nevada),Common-Law,Irvin Montgomery,1975-07-13
339-30-1331,(05)-6473-7456,San Jose (California),Common-Law,Jaclyn Booker,1975-03-30
323-81-1757,(09)-7703-3554,Plano (Texas),Divorced,Allie Sifuentes,1974-08-16
391-31-1025,(09)-3949-8507,New Orleans (Louisiana),Married,Roderick Pickett,1978-04-18
287-81-1313,(04)-5502-3038,Lubbock (Texas),Single,Rickie Bainbridge,1969-12-13
238-30-1263,(07)-1199-7887,Durham (North Carolina),Single,Elias Malley,1987-07-08
425-25-1433,(09)-5146-8567,Fort Worth (Texas),Married,Damon Kibler,1983-10-23
144-99-1941,(03)-4370-5075,Honolulu (Hawaii),Married,Kelvin Key,1979-08-23
138-44-1950,(05)-3858-3262,San Francisco (California),Single,Michal Vance,1978-02-12
177-81-1401,(07)-3433-6629,Norfolk (Virginia),Divorced,Bert Stamm,1985-04-20
408-99-1093,(03)-7703-7818,Arlington (Texas),Single,Lakesha Markle,1976-06-15
138-46-1620,(09)-3858-1079,New York (New York),Common-Law,Catharine Torrez,1970-03-19
381-74-1605,(07)-5902-9187,Philadelphia[8] (Pennsylvania),Married,Houston Rooney,1981-10-11
408-55-1549,(09)-3433-5560,Oakland (California),Married,Jim Berlin,1985-02-21
381-55-1883,(09)-3858-3262,Portland (Oregon),Single,Brittany Hensley,1988-07-02
339-55-1992,(04)-6486-4206,Mesa (Arizona),Married,Julian Bright,1989-05-05
323-25-2000,(04)-9719-9661,North Las Vegas (Nevada),Divorced,Royal Noel,1986-08-24
177-25-1968,(07)-8685-6500,Corpus Christi (Texas),Common-Law,Gilbert Lemmon,1981-10-01
429-83-1338,(03)-6745-1179,El Paso (Texas),Common-Law,Lesha Brunswick,1984-10-26
177-83-1974,(08)-6191-6500,Washington (District of Columbia),Common-Law,Tracie Daugherty,1975-03-28
368-18-1825,(09)-5146-3278,San Antonio (Texas),Common-Law,Latasha Puga,1982-06-25
320-18-1159,(03)-1199-9187,St. Petersburg (Florida),Married,Kristine Salyers,1979-04-22
391-83-1011,(05)-4858-2465,Buffalo (New York),Single,Michele Wooldridge,1971-07-21
381-74-1043,(04)-6975-3038,Saint Paul (Minnesota),Common-Law,Casey Stanfill,1979-01-27
177-32-1703,(07)-3460-2115,Henderson (Nevada),Divorced,Cristina Manly,1974-01-07
391-60-1057,(04)-5592-1633,San Jose (California),Common-Law,Chuck Irwin,1970-11-17
166-93-1237,(05)-4286-3278,Kansas City (Missouri),Common-Law,Shelia Odom,1970-03-01
339-99-1145,(09)-3433-7456,New Orleans (Louisiana),Married,Lynn Schram,1988-10-04
116-54-1399,(03)-6812-9910,Nashville (Tennessee),Divorced,Rosie Borja,1982-09-04
408-55-1642,(08)-6865-8942,Mesa (Arizona),Divorced,Mariano Lando,1979-06-22
116-54-1500,(04)-5580-3278,Cincinnati (Ohio),Single,Luz Ramos,1985-09-17
287-60-1612,(04)-4858-7527,Bakersfield (California),Married,Lilli Latta,1971-06-13
320-55-1643,(09)-1199-4339,San Jose (California),Divorced,Refugio Scates,1972-06-29
279-30-1283,(08)-5592-7659,Santa Ana (California),Common-Law,Usha Grimes,1976-01-16
425-83-1158,(05)-5794-2315,Chesapeake (Virginia),Married,Omar Pomerleau,1970-05-10
279-85-1825,(09)-6975-7659,Richmond (Virginia),Divorced,Wilbur Robertson,1981-11-18
138-82-1227,(04)-6473-5965,Cleveland (Ohio),Single,Magen Hamel,1990-02-06
368-54-1020,(05)-7504-6480,Irving (Texas),Married,Granville Woodley,1972-10-22
368-60-1954,(03)-9235-1179,Garland (Texas),Married,Gabriela Barnes,1976-05-02
166-81-1521,(07)-8435-4508,Glendale (Arizona),Married,Yu Mora,1977-07-03
238-30-1259,(08)-1350-1433,Dallas (Texas),Divorced,Carlene Field,1980-04-23
381-81-1392,(09)-1199-3262,Saint Paul (Minnesota),Single,Kathy Lubbers,1987-05-08
279-54-1312,(09)-6191-3197,Madison (Wisconsin),Single,Philip Ogden,1969-08-04
238-55-1907,(05)-4858-2725,St. Petersburg (Florida),Divorced,Rex Robison,1977-12-08
216-60-1974,(07)-3468-7887,Nashville (Tennessee),Single,Marta Alley,1975-08-10
425-99-1858,(04)-1199-1764,Glendale (Arizona),Single,Addie Phan,1979-12-29
238-83-1307,(05)-5125-9470,Fremont (California),Divorced,Dorothy Werner,1969-06-27
381-18-1050,(09)-5794-3262,Jacksonville (Florida),Divorced,Hugh Dillion,1969-08-26
381-32-1101,(07)-3339-3563,Scottsdale (Arizona),Divorced,Toby Otani,1970-05-14
429-74-1413,(04)-9333-7402,Wichita (Kansas),Married,Cicely Vaughn,1976-06-11
368-85-1019,(08)-6975-2725,Portland (Oregon),Married,Doris Washington,1990-12-21
279-25-1856,(09)-8288-5560,San Francisco (California),Single,Lonnie Oquinn,1975-05-06
320-51-1549,(09)-5580-6500,Nashville (Tennessee),Divorced,Ada Brame,1981-08-21
287-23-1332,(03)-9333-8568,Tulsa (Oklahoma),Single,Rochelle Roberson,1990-02-20
323-82-1374,(05)-5146-1423,Mesa (Arizona),Divorced,Tam Flaherty,1986-12-27
339-46-1500,(08)-7703-4606,Honolulu (Hawaii),Married,Lesha Twitty,1989-01-18
408-31-1019,(03)-7508-8193,San Diego (California),Single,Lyle Judah,1979-07-14
279-44-1483,(09)-7973-7434,San Diego (California),Single,Elsie Lisenby,1975-06-13
216-93-1022,(08)-6191-8567,Oklahoma City (Oklahoma),Common-Law,Maura Holden,1971-10-18
238-34-1159,(03)-2298-1764,Gilbert (Arizona),Common-Law,Brook Schoenberger,1983-10-29
323-54-1469,(08)-5146-1764,Boise (Idaho),Married,Collette Oxford,1985-12-20
166-82-1394,(04)-5146-4208,Arlington (Texas),Divorced,Denver Carey,1969-03-19
391-74-1883,(08)-6191-4206,Durham (North Carolina),Divorced,Jon Diehl,1984-04-22
425-44-1491,(07)-5146-6480,Tulsa (Oklahoma),Divorced,Leigh Houston,1983-07-03
166-32-1043,(07)-3949-1633,St. Petersburg (Florida),Single,Danielle Montano,1984-10-23
224-93-1394,(08)-5502-6922,San Antonio (Texas),Divorced,Tracy Gil,1971-10-09
116-25-1163,(05)-9333-6480,Minneapolis (Minnesota),Married,Celia Wulf,1983-03-16
216-81-1405,(08)-6191-4208,Columbus (Ohio),Single,Perry Meas,1970-05-19
323-34-1506,(05)-8685-7208,Scottsdale (Arizona),Common-Law,Molly Amen,1983-04-16
279-46-1521,(05)-5580-6766,Louisville (Kentucky),Married,Nola Dyess,1984-08-25
339-32-1435,(08)-9719-4444,Newark (New Jersey),Common-Law,Lou Thibodeaux,1983-09-05
238-30-1224,(07)-3433-4289,Greensboro (North Carolina),Common-Law,Mildred Baird,1982-03-10
323-93-1417,(07)-6486-9910,Pittsburgh (Pennsylvania),Common-Law,Hope Meza,1973-07-21
425-83-1401,(04)-3433-7818,Riverside (California),Single,Vern Douglass,1984-04-13
381-46-1283,(08)-6745-5965,Cincinnati (Ohio),Married,Sarita Earle,1971-10-29
279-60-1469,(07)-5050-9470,Buffalo (New York),Divorced,Johnny Muse,1977-01-07
279-25-1448,(09)-6975-6362,Miami (Florida),Single,Cristina Avery,1970-09-18
216-46-1083,(07)-5125-6781,Corpus Christi (Texas),Married,Jason Moody,1977-11-28
138-93-1891,(05)-8435-4444,Houston (Texas),Divorced,Leota Lustig,1986-07-22
177-44-1849,(04)-1350-1791,North Las Vegas (Nevada),Divorced,Etta Dorman,1972-08-25
323-74-1922,(07)-6473-6502,San Jose (California),Single,Joanna Yow,1987-07-27
368-25-1602,(07)-8685-1791,San Bernardino (California),Common-Law,Clint Blessing,1986-03-05
177-83-1491,(08)-1199-1791,Chula Vista (California),Common-Law,Irvin Hansard,1973-09-19
425-54-1376,(03)-9333-6766,Tampa (Florida),Married,Reatha Fessler,1988-01-17
320-74-1491,(05)-3949-2611,Seattle (Washington),Single,Elizebeth Mcdill,1978-12-02
320-99-1732,(05)-9365-4394,Winston–Salem (North Carolina),Single,Sheldon Mcclellan,1974-01-05
320-93-1849,(08)-7703-6898,Riverside (California),Single,Paul Sparacino,1988-07-28
301-81-1692,(08)-6191-8942,St. Petersburg (Florida),Divorced,Goldie Mccallum,1980-05-04
144-82-1022,(03)-2298-2315,Irving (Texas),Divorced,Florence Zellmer,1973-08-05
238-30-1511,(09)-5902-6500,Baton Rouge (Louisiana),Common-Law,Bernadette Younger,1985-08-09
216-18-1643,(07)-5002-6781,Lubbock (Texas),Single,Tyrone Jenkins,1990-12-17
238-93-1994,(05)-5050-6898,St. Louis (Missouri),Married,Kelsey Epps,1987-08-04
381-93-1108,(07)-5330-3325,Honolulu (Hawaii),Married,Lesha Hunsaker,1979-01-07
301-81-1329,(09)-5854-7414,Raleigh (North Carolina),Divorced,Giovanna Hyland,1990-01-03
339-93-1226,(04)-7703-5801,Lexington (Kentucky),Common-Law,Akiko Mccrae,1983-06-06
287-85-1263,(05)-3460-9523,Madison (Wisconsin),Single,Holly Talbott,1973-02-12
144-54-1866,(05)-5502-1478,Oakland (California),Married,Cathy Wicker,1982-11-14
301-81-1262,(07)-7973-1079,Wichita (Kansas),Single,Jarvis Grier,1977-09-12
224-74-1529,(04)-3339-6922,Pittsburgh (Pennsylvania),Single,Wade Mcallister,1980-01-20
339-51-1344,(08)-6975-6502,Plano (Texas),Divorced,Caroline Baur,1971-09-07
216-30-1664,(08)-4858-1452,Scottsdale (Arizona),Common-Law,Maryann Button,1983-06-12
224-82-1463,(04)-3460-4983,Austin (Texas),Married,Emily Fogle,1969-09-01
323-93-1145,(05)-3949-8640,Chula Vista (California),Divorced,Dodie Dinh,1971-04-29
144-31-1840,(05)-6745-5686,Lexington (Kentucky),Divorced,Beulah Seim,1972-02-24
177-74-1759,(03)-6865-7887,Phoenix (Arizona),Married,Tosha Ainsworth,1980-01-22
339-93-1053,(03)-9235-5970,Richmond (Virginia),Divorced,Sophia Stringfellow,1982-07-04
279-54-1158,(07)-9235-3038,Jacksonville (Florida),Married,Starr Kohl,1977-01-15
425-99-1924,(04)-5580-5241,Minneapolis (Minnesota),Divorced,Homer Donmoyer,1989-12-11
216-25-1692,(09)-9719-5801,Norfolk (Virginia),Common-Law,Brianna Lemmon,1976-03-05
368-85-1074,(05)-9999-5686,Bakersfield (California),Divorced,Susan Keeton,1989-02-22
138-51-1159,(08)-7504-5970,Honolulu (Hawaii),Married,Jeri Wheeler,1982-12-19
177-30-1262,(04)-3949-9523,Jacksonville (Florida),Single,Vincent Lennox,1974-02-12
323-31-1759,(04)-1199-1791,Milwaukee (Wisconsin),Single,Henry Ouellette,1969-09-13
116-25-1399,(08)-8435-8193,Cleveland (Ohio),Single,Cheryl Shearer,1986-05-24
391-23-1891,(05)-8435-6362,Toledo (Ohio),Divorced,Natasha Aquino,1981-02-28
138-81-1341,(08)-3468-6766,Colorado Springs (Colorado),Married,Bridget Banks,1975-02-22
323-60-1479,(03)-4370-4394,Cleveland (Ohio),Common-Law,Herminia Harris,1980-09-20
177-83-1286,(09)-6812-1423,Bakersfield (California),Single,Elisha Prange,1990-03-22
429-31-1345,(08)-9854-5952,Phoenix (Arizona),Common-Law,Jacob Kenworthy,1988-04-16
408-51-1054,(05)-9292-7370,El Paso (Texas),Married,Cleopatra Caswell,1983-08-22
177-32-1511,(09)-6191-8055,Lubbock (Texas),Married,Kendall Maher,1975-08-17
320-74-1992,(03)-6473-9523,Glendale (Arizona),Married,Diane Rousey,1982-08-26
301-46-1327,(07)-3339-8193,St. Louis (Missouri),Common-Law,Curt Chappell,1984-11-21
301-81-1491,(07)-6975-5202,New York (New York),Common-Law,Coy Aguilar,1990-02-18
224-81-1912,(09)-5854-5686,Minneapolis (Minnesota),Common-Law,Darryl Tillotson,1990-12-06
216-54-1140,(04)-3339-8968,Laredo (Texas),Married,Tod Stoll,1990-05-22
287-34-1768,(03)-6745-6922,Miami (Florida),Common-Law,Frances Sweeney,1975-05-12
116-46-1941,(08)-5146-2315,Indianapolis[11] (Indiana),Single,Kara Forrest,1977-11-01
177-60-1856,(09)-6745-2315,Raleigh (North Carolina),Single,Myron Hunt,1971-04-10
425-25-1235,(04)-5580-4176,Charlotte (North Carolina),Divorced,Cary Braxton,1979-02-08
391-32-1339,(09)-6473-5867,Gilbert (Arizona),Common-Law,Jules Chau,1984-11-22
224-83-1801,(04)-9365-3325,Winston–Salem (North Carolina),Divorced,Claude Boaz,1969-03-12
339-60-1492,(03)-4286-1114,Jacksonville (Florida),Common-Law,Tam Greeson,1980-04-26
408-32-1723,(09)-9365-8507,Orlando (Florida),Single,Deidre Rodgers,1973-10-10
177-51-1043,(03)-9333-5686,Pittsburgh (Pennsylvania),Single,Bernadette Martin,1972-08-20
287-30-1344,(03)-1199-7208,Anchorage (Alaska),Common-Law,Staci France,1989-05-15
339-93-1289,(03)-5062-6629,Baton Rouge (Louisiana),Common-Law,Kanesha Kallas,1979-05-24
166-54-1417,(08)-9365-5965,Plano (Texas),Divorced,Melinda Hemenway,1972-07-20
381-85-1424,(07)-5179-9910,Raleigh (North Carolina),Married,Darcy Southerland,1978-06-15
429-46-1101,(09)-6191-2725,Detroit (Michigan),Single,Magdalena Beard,1969-12-29
391-93-1344,(04)-3460-9114,San Jose (California),Single,Heath Baur,1969-09-19
279-30-1491,(04)-6975-8405,Orlando (Florida),Single,Joey Varela,1988-10-08
279-74-1772,(05)-5002-8507,Irving (Texas),Common-Law,Elsa Lafleur,1978-09-10
116-23-1021,(04)-5050-1247,Norfolk (Virginia),Single,Verona Nava,1982-04-02
224-81-1680,(09)-1350-1633,Newark (New Jersey),Divorced,Eloisa Abston,1977-09-25
425-55-1664,(07)-6486-5970,Philadelphia[8] (Pennsylvania),Single,Corine Wasson,1976-12-11
408-93-1891,(04)-5062-5686,Louisville (Kentucky),Married,Edna Muse,1987-05-30
177-32-1083,(03)-5002-3325,Oakland (California),Divorced,Logan Larrabee,1985-12-30
429-60-1312,(03)-3858-8640,Corpus Christi (Texas),Single,Bernadette Singh,1986-10-04
391-30-1359,(07)-9365-4176,Omaha (Nebraska),Single,Perry Burkett,1984-09-14
166-60-1469,(03)-8685-8640,Chesapeake (Virginia),Divorced,Estelle Wickline,1990-02-20
177-54-1985,(05)-5050-2115,Washington (District of Columbia),Married,Margie Sherrod,1983-11-26
368-30-1692,(09)-5125-9910,Minneapolis (Minnesota),Single,Erma Pond,1970-12-19
408-99-1288,(05)-3468-7434,Tampa (Florida),Common-Law,Eve Izzo,1989-11-16
368-23-1519,(03)-9854-8567,Cincinnati (Ohio),Divorced,Eloisa Ruhl,1969-10-16
408-93-1413,(04)-1350-4345,Detroit (Michigan),Divorced,Sheldon Caton,1987-06-16
287-34-1107,(07)-1199-5952,Jacksonville (Florida),Married,Johanna Meeks,1990-12-13
138-81-1262,(05)-5794-5686,New Orleans (Louisiana),Married,Georgianne Phares,1987-06-09
216-55-1891,(05)-8288-3038,San Diego (California),Divorced,Gabriel Batchelor,1987-06-19
224-74-1643,(05)-3460-6922,Greensboro (North Carolina),Divorced,Alex Lamont,1978-10-23
287-85-1163,(03)-1199-7434,Portland (Oregon),Married,Reynaldo Wear,1987-02-26
323-55-1882,(08)-6812-8432,Lexington (Kentucky),Married,Patsy Lobdell,1987-07-14
279-51-1291,(04)-2926-5867,Virginia Beach (Virginia),Single,Carie Haslett,1981-08-10
425-32-1805,(03)-5002-2611,Los Angeles (California),Married,Julia Borchers,1978-10-11
166-74-1463,(05)-6975-6898,Plano (Texas),Common-Law,Donovan Cuthbert,1981-07-09
339-51-1468,(08)-3858-3345,Hialeah (Florida),Divorced,Marshall Burrows,1978-08-10
287-60-1922,(05)-4370-5241,Philadelphia[8] (Pennsylvania),Single,Yulanda Chase,1969-05-03
320-55-1341,(08)-4370-8640,Newark (New Jersey),Married,Yulanda Rodney,1985-06-30
216-83-1822,(03)-9365-1478,Bakersfield (California),Married,Ima Mays,1975-09-11
166-60-1399,(07)-5050-3262,Las Vegas (Nevada),Common-Law,Tammy Valenzuela,1988-12-07
323-93-1828,(08)-7504-5326,Oklahoma City (Oklahoma),Common-Law,Aimee Franklin,1980-11-12
224-82-1535,(07)-5592-9130,New Orleans (Louisiana),Common-Law,Patti Strauss,1986-05-15
216-55-1158,(03)-5902-1478,Austin (Texas),Divorced,Pearlene Haliburton,1977-08-15
320-51-1491,(09)-9333-4394,Lubbock (Texas),Divorced,Donn Travers,1970-03-01
381-55-1851,(05)-5794-1791,Pittsburgh (Pennsylvania),Common-Law,Collette Frizzell,1973-01-19
138-54-1405,(03)-5002-7402,Henderson (Nevada),Single,Numbers Link,1979-10-21
279-55-1703,(05)-9999-7456,Chandler (Arizona),Divorced,Krista Villanueva,1980-09-05
177-34-1050,(08)-2905-7818,Jersey City (New Jersey),Common-Law,Kelsey Blakely,1972-05-25
238-23-1043,(07)-8435-7818,Fremont (California),Single,Karin Mccollum,1986-02-24
166-54-1263,(07)-5330-5388,Fremont (California),Divorced,Kristie Pham,1969-12-20
429-55-1981,(03)-9999-5036,Sacramento (California),Divorced,Alana Lisenby,1990-06-16
238-25-1286,(05)-3949-4208,Madison (Wisconsin),Common-Law,Sigrid Flournoy,1971-06-26
138-60-1849,(04)-5330-5801,Laredo (Texas),Married,Ross Dressler,1990-03-22
381-30-1489,(04)-9292-9511,St. Petersburg (Florida),Married,Alma Lambert,1988-07-03
429-82-2000,(08)-5794-4508,Raleigh (North Carolina),Divorced,Rosalyn Li,1972-01-18
116-54-1995,(04)-5125-6500,Omaha (Nebraska),Common-Law,May Quick,1976-02-15
408-99-1262,(07)-9333-5388,Winston–Salem (North Carolina),Divorced,Duane Gagliardi,1986-12-09
238-93-1891,(05)-3468-4606,Columbus (Ohio),Divorced,Sylvester Renwick,1990-08-18
320-85-1851,(07)-5854-7659,Memphis (Tennessee),Divorced,Larry Guay,1973-11-13
429-31-1286,(09)-7508-9114,Reno (Nevada),Single,Ezequiel Ralph,1986-01-10
224-46-1469,(03)-9719-1764,Long Beach (California),Married,Chad Isham,1971-09-01
287-46-1433,(09)-5146-4634,Atlanta (Georgia),Common-Law,Charlotte Cupp,1981-05-11
279-46-1159,(05)-6191-8567,Jacksonville (Florida),Common-Law,Nichelle Suiter,1972-10-20
166-25-1043,(05)-4286-4208,Fort Wayne (Indiana),Married,Erin Laroche,1978-09-24
238-25-1529,(05)-5580-6681,El Paso (Texas),Married,Lorraine Webster,1989-10-06
320-18-1479,(09)-5002-5119,Scottsdale (Arizona),Single,Molly Wisniewski,1981-12-30
224-55-1551,(07)-5902-1478,Chicago (Illinois),Divorced,Nicole Gilmartin,1978-11-23
381-23-1021,(03)-7703-5119,Pittsburgh (Pennsylvania),Married,Beth Speece,1970-12-31
144-32-1259,(04)-6473-8548,Fresno (California),Single,Ivan Lusk,1971-12-10
144-82-1922,(05)-1199-1179,St. Petersburg (Florida),Married,Dave Newberry,1986-06-27
279-83-1805,(05)-6486-8405,Henderson (Nevada),Married,Karine Montoya,1977-03-07
144-83-1329,(04)-5125-8193,Cincinnati (Ohio),Single,Eileen Leslie,1971-04-14
429-74-1463,(04)-5179-6500,Dallas (Texas),Married,Hilda Mcfarland,1970-05-04
408-46-1866,(04)-9365-8548,Seattle (Washington),Married,Lynwood Stamm,1972-01-21
177-74-1327,(05)-1350-2611,El Paso (Texas),Common-Law,Rita Madsen,1984-03-02
429-32-1329,(04)-9999-9661,San Diego (California),Single,Mayme Ebner,1978-10-10
339-25-1038,(03)-3858-1433,Henderson (Nevada),Divorced,Don Draper,1981-06-02
116-34-1507,(03)-4858-6766,St. Louis (Missouri),Single,Ron Trudell,1989-09-02
177-85-1307,(08)-7504-4983,Atlanta (Georgia),Divorced,Dorathy Showers,1987-02-05
339-23-1463,(05)-4858-7527,Norfolk (Virginia),Married,Marc Camacho,1976-03-29
287-18-1958,(07)-5125-1179,Richmond (Virginia),Common-Law,Derrick Nagao,1976-02-17
138-31-1341,(07)-9854-5019,Winston–Salem (North Carolina),Common-Law,Gudrun Cheng,1975-07-26
138-23-1603,(08)-5050-3038,Los Angeles (California),Common-Law,Melvin Wetzel,1983-07-10
391-32-1237,(08)-9235-6781,San Antonio (Texas),Common-Law,Sara Lohr,1980-07-31
381-74-1199,(09)-7504-1179,Kansas City (Missouri),Single,Kathy Halstead,1978-06-29
166-30-1093,(07)-5794-8548,Anchorage (Alaska),Common-Law,Ebony Brandt,1975-05-02
287-99-1535,(07)-9999-8055,Madison (Wisconsin),Divorced,Sherilyn Levin,1982-07-12
320-82-1276,(08)-5330-5867,Newark (New Jersey),Married,Nichelle Guy,1988-02-26
138-25-1854,(09)-5794-5965,Minneapolis (Minnesota),Married,Dina Krause,1972-01-14
339-25-1489,(09)-5062-3038,Riverside (California),Divorced,Nikita Tilley,1975-01-28
216-23-1968,(05)-6473-6681,Greensboro (North Carolina),Single,Paulina Burnett,1973-02-11
320-34-1417,(09)-3858-1633,Aurora (Colorado),Common-Law,Dedra Hector,1989-10-31
429-23-1605,(09)-1199-5965,Baton Rouge (Louisiana),Married,Eun Phares,1980-10-03
238-99-1148,(05)-6745-3325,Minneapolis (Minnesota),Single,Lester Carlson,1980-12-30
425-31-1048,(08)-5002-8193,Omaha (Nebraska),Married,Alice Rivera,1977-05-30
279-55-1107,(04)-9235-6898,Bakersfield (California),Married,Mai Boudreau,1990-08-31
323-83-1813,(04)-6812-5019,Nashville (Tennessee),Married,Viva Earnest,1977-07-24
381-44-1680,(04)-7905-8223,Anaheim (California),Common-Law,Dan Sprague,1981-08-24
381-44-1994,(07)-4286-6500,Charlotte (North Carolina),Single,Gay Adam,1974-12-17
323-60-1324,(03)-8288-4345,Washington (District of Columbia),Single,Nickolas Agnew,1978-04-10
339-93-1011,(04)-5902-9523,Madison (Wisconsin),Common-Law,Marguerite Kester,1990-12-03
177-34-1828,(08)-5062-8193,Lexington (Kentucky),Divorced,Jermaine Wooley,1979-09-21
144-83-1521,(09)-5125-4983,Mesa (Arizona),Common-Law,Lulu Killingsworth,1973-01-12
224-51-1067,(07)-3320-7887,Greensboro (North Carolina),Common-Law,Mohamed Upshaw,1980-02-19
429-81-1338,(09)-6486-4206,Laredo (Texas),Single,Mae Prince,1981-03-29
144-34-1289,(03)-6865-7191,Long Beach (California),Single,Candy Agostini,1978-08-17
238-81-1620,(09)-2298-5965,El Paso (Texas),Divorced,Coy Wu,1979-03-10
425-99-1061,(08)-7973-1452,Hialeah (Florida),Married,Tosha Mund,1988-04-02
320-74-1074,(08)-7504-7456,Toledo (Ohio),Single,Ruben Garica,1975-10-11
301-25-1692,(03)-5902-5867,Louisville (Kentucky),Common-Law,Tina Nielsen,1988-12-07
339-82-1871,(09)-9235-5036,Miami (Florida),Married,Sierra Jonson,1973-07-11
144-81-1703,(08)-4370-5713,Lexington (Kentucky),Divorced,Lewis Haley,1972-07-19
116-51-1469,(07)-3460-1079,Boise (Idaho),Common-Law,Dianna Bell,1973-09-01
429-74-1489,(09)-7504-4339,Chicago (Illinois),Common-Law,Terry Ludwick,1975-07-28
429-31-1642,(05)-6865-2714,Charlotte (North Carolina),Divorced,Son Bednarz,1975-06-03
224-83-1647,(07)-3858-5036,Houston (Texas),Common-Law,Leonor Drummond,1973-04-12
238-54-1313,(05)-5050-3325,Virginia Beach (Virginia),Divorced,Jessica Ott,1972-09-05
166-74-1507,(08)-1199-1452,Greensboro (North Carolina),Divorced,Ramon Lovett,1989-06-11
224-30-1629,(08)-6865-1247,Durham (North Carolina),Divorced,Tia Cropper,1981-10-28
391-46-1655,(08)-3460-8567,Oakland (California),Divorced,Nancy Braswell,1985-03-26
425-93-1417,(04)-6191-7887,Tulsa (Oklahoma),Common-Law,Shaniqua Adam,1983-06-20
391-74-1011,(05)-5902-8567,Pittsburgh (Pennsylvania),Married,Arnold Lamar,1969-08-02
238-51-1442,(07)-5794-6629,Oakland (California),Single,Evan Wark,1982-06-05
287-18-1224,(08)-6745-8432,Lubbock (Texas),Married,Normand Browne,1986-07-04
238-82-1286,(07)-7973-8640,St. Petersburg (Florida),Divorced,Art Boone,1989-06-30
279-85-1171,(07)-9854-8567,Fresno (California),Married,Jayne Krier,1990-02-26
368-83-1519,(08)-7508-1452,Charlotte (North Carolina),Common-Law,Alejandro Lamar,1975-02-17
381-31-1718,(05)-3858-9511,North Las Vegas (Nevada),Common-Law,Martin Say,1988-10-09
224-85-1813,(09)-7508-2714,Atlanta (Georgia),Married,Eva Cullen,1980-05-28
116-81-1825,(04)-9999-5801,San Antonio (Texas),Common-Law,Jeannine Dews,1986-06-05
391-54-1891,(04)-7973-7527,Louisville (Kentucky),Common-Law,Norbert Fryer,1982-10-09
238-34-1383,(04)-5854-5867,Anaheim (California),Divorced,Spencer Hafford,1978-09-02
287-81-1992,(08)-5902-1247,Charlotte (North Carolina),Married,Bryant Ivy,1979-11-30
116-51-1083,(04)-9854-8568,Detroit (Michigan),Divorced,Eddie Sanderson,1974-11-05
166-83-1093,(03)-5902-5075,Aurora (Colorado),Single,Clyde Dyck,1989-05-10
177-81-1676,(03)-2905-1179,Detroit (Michigan),Divorced,Sadie Tilley,1983-01-24
166-85-1339,(07)-9365-3345,Fort Wayne (Indiana),Common-Law,Ida Pruitt,1983-06-13
144-18-1924,(03)-2926-8968,North Las Vegas (Nevada),Single,Tracie Tedder,1988-10-01
238-44-1048,(07)-8685-5241,Irving (Texas),Divorced,Darcie Nichols,1990-06-08
216-60-1011,(08)-2905-5801,Las Vegas (Nevada),Divorced,Eva Ruff,1990-03-24
144-46-1199,(07)-5062-5202,Glendale (Arizona),Divorced,Jeannine Bernard,1970-01-09
166-46-1393,(08)-5125-9910,Austin (Texas),Common-Law,Odell Cady,1971-08-17
391-83-1605,(05)-3858-8942,Richmond (Virginia),Single,Ruben Parish,1974-07-18
