bank,ccn,ssn
American Express,3608-2507-4394-1551,408-44-1199
Citizens Financial Group,3608-2596-5394-1623,138-85-1529
State Street Corporation,3608-2067-5634-1054,144-18-1545
CIT Group,3608-1395-4236-1306,320-18-1093
Huntington Bancshares,3608-1682-5638-1255,408-46-1217
BNP Paribas,3608-2800-5551-1001,301-54-1442
U.S. Bancorp,3608-1682-5745-1435,279-82-1922
MUFG Union Bank,3608-1192-5884-1322,391-55-1262
BNP Paribas,3608-1395-4318-1629,177-51-1680
Huntington Bancshares,3608-2067-4383-1856,116-81-1733
Northern Trust Corporation,3608-2596-4342-1856,224-82-1753
American Express,3608-2588-4856-1189,287-55-1331
New York Community Bancorp,3608-1682-5756-1055,323-31-1050
UBS,3608-2588-5407-1377,287-81-1954
Comerica,3608-2507-4329-1038,429-32-1856
BNP Paribas,3608-2588-4005-1055,391-60-1703
E-Trade,3608-1333-4342-1188,116-99-1739
HSBC Bank USA,3608-1682-5038-1214,287-55-1392
UBS,3608-2181-4523-1129,323-51-1137
Huntington Bancshares,3608-1395-5884-1244,287-55-1259
BB&T,3608-1782-4994-1617,279-51-1801
TD Bank. N.A.,3608-1682-4288-1435,429-55-1549
Huntington Bancshares,3608-1721-5407-1024,279-74-1315
First Republic Bank,3608-1682-4344-1637,339-60-1866
TD Bank. N.A.,3608-1782-4445-1217,166-55-1979
First Republic Bank,3608-1782-5333-1892,287-51-1301
BMO Harris Bank,3608-1395-4318-1301,339-32-1974
Barclays,3608-1333-5132-1613,323-99-1423
Charles Schwab Corporation,3608-2067-5459-1300,320-32-1051
Royal Bank of Canada,3608-1192-4394-1394,429-60-1057
East West Bank,3608-1782-5983-1244,368-25-1535
BB&T,3608-2800-4458-1935,116-85-1882
Popular. Inc.,3608-2800-4329-1828,323-93-1828
Bank of America,3608-2067-4288-1828,368-31-1979
Huntington Bancshares,3608-2507-4458-1185,287-60-1759
Santander Bank,3608-2067-5890-1629,177-30-1163
BBVA Compass,3608-2751-4458-1668,287-32-1883
SunTrust Banks,3608-2507-5470-1394,381-83-1492
Popular. Inc.,3608-1395-5638-1673,216-34-1199
UBS,3608-2067-5791-1794,224-31-2000
Bank of America,3608-1682-5766-1983,408-32-1602
U.S. Bancorp,3608-2588-4580-1474,144-34-1107
Ally Financial,3608-1395-4668-1718,216-60-1666
First Republic Bank,3608-2067-4329-1442,116-18-1345
M&T Bank,3608-2968-5884-1613,144-54-1227
TD Bank. N.A.,3608-2067-5745-1244,301-81-1615
Morgan Stanley,3608-2181-4383-1465,368-23-1519
U.S. Bancorp,3608-2800-5551-1583,408-99-1731
Deutsche Bank,3608-1395-5691-1054,238-82-1943
Royal Bank of Canada,3608-2800-4523-1442,429-44-1283
E-Trade,3608-2968-4236-1265,177-82-1313
Mizuho Financial Group,3608-1395-5988-1589,323-81-1759
Silicon Valley Bank,3608-2751-5459-1518,339-81-1083
Morgan Stanley,3608-1333-4354-1686,429-34-1286
MUFG Union Bank,3608-1782-4580-1572,408-25-1907
Capital One,3608-2507-5458-1583,408-83-1801
Santander Bank,3608-2800-4523-1686,368-18-1529
State Street Corporation,3608-1721-4288-1537,339-55-1107
Huntington Bancshares,3608-1682-4005-1440,429-99-1519
First Republic Bank,3608-2588-5394-1646,301-32-1753
UBS,3608-1395-4329-1129,368-81-1893
State Street Corporation,3608-2596-5470-1163,381-74-1378
Deutsche Bank,3608-2507-5890-1024,287-23-1883
Northern Trust Corporation,3608-2596-5756-1255,391-30-1012
JPMorgan Chase,3608-1192-5634-1274,425-31-1006
PNC Financial Services,3608-1333-4458-1428,138-81-1393
Charles Schwab Corporation,3608-2181-4005-1795,339-85-1479
E-Trade,3608-1721-4394-1344,224-31-1732
M&T Bank,3608-1721-4236-1032,408-54-1664
State Street Corporation,3608-1682-4711-1361,224-83-1635
BBVA Compass,3608-2596-4994-1053,216-44-1383
M&T Bank,3608-2968-5756-1686,279-34-1828
USAA,3608-2800-4342-1064,177-99-1053
Mizuho Financial Group,3608-2968-5152-1428,238-54-1469
BB&T,3608-2596-4383-1428,287-44-1703
Huntington Bancshares,3608-2800-5038-1301,391-74-1021
Northern Trust Corporation,3608-2588-4354-1217,144-31-1822
Mizuho Financial Group,3608-2067-5196-1474,339-74-1871
BB&T,3608-2751-5152-1190,391-34-1479
The Bank of New York Mellon,3608-1333-5132-1128,391-82-1012
People's United Financial,3608-2968-5394-1931,301-34-1583
Capital One,3608-2067-5724-1821,429-32-1269
BNP Paribas,3608-1721-5333-1014,279-51-1291
Citizens Financial Group,3608-2800-4383-1794,144-74-1732
Goldman Sachs,3608-1782-5988-1999,391-46-1137
BBVA Compass,3608-1395-5638-1163,216-85-1217
U.S. Bancorp,3608-1721-5745-1440,177-32-1491
UBS,3608-2507-4264-1292,301-85-1759
USAA,3608-2800-5394-1189,238-83-1849
Goldman Sachs,3608-2800-4657-1828,301-31-1417
Fifth Third Bank,3608-1395-4711-1717,368-93-1048
PNC Financial Services,3608-1682-5766-1056,287-81-1378
Discover Financial,3608-1192-4657-1377,224-18-1137
Discover Financial,3608-1721-5152-1660,339-44-1489
Morgan Stanley,3608-2800-5766-1215,144-81-1647
Goldman Sachs,3608-2968-4344-1181,279-93-1549
Signature Bank,3608-2800-4342-1838,287-74-1605
Zions Bancorp,3608-1395-5333-1668,287-46-1893
E-Trade,3608-2067-5691-1440,166-99-1171
JPMorgan Chase,3608-2800-4160-1916,144-83-1629
HSBC Bank USA,3608-2507-4342-1821,425-30-1871
Huntington Bancshares,3608-1782-4329-1613,144-99-1423
Citigroup,3608-2507-5196-1839,339-85-1811
Signature Bank,3608-1192-5333-1053,177-55-1655
Deutsche Bank,3608-2588-5459-1593,368-74-1731
East West Bank,3608-1721-4668-1629,425-81-1602
Mizuho Financial Group,3608-2588-5470-1614,429-54-1240
TD Bank. N.A.,3608-1395-4445-1216,320-99-1433
CIT Group,3608-2507-4038-1745,408-81-1401
Barclays,3608-2596-4236-1094,116-30-1341
M&T Bank,3608-2181-5470-1631,116-74-1315
Fifth Third Bank,3608-1333-5394-1593,320-99-1226
American Express,3608-2968-5766-1838,116-30-1433
Morgan Stanley,3608-2588-5551-1383,279-60-1968
Comerica,3608-2507-4288-1936,368-44-1067
Northern Trust Corporation,3608-2800-5038-1189,144-46-1866
BB&T,3608-2596-5632-1597,339-81-1108
American Express,3608-2507-4951-1613,144-25-1376
Huntington Bancshares,3608-1395-5890-1794,177-60-1940
BBVA Compass,3608-1782-5152-1686,301-25-1140
Santander Bank,3608-2596-5724-1804,177-82-1383
Bank of America,3608-1782-4344-1215,224-54-1383
MUFG Union Bank,3608-2181-5983-1637,368-55-1772
People's United Financial,3608-1682-5634-1428,166-81-1811
East West Bank,3608-2588-4580-1428,238-44-1483
MUFG Union Bank,3608-1395-5750-1001,216-51-1563
State Street Corporation,3608-2067-5696-1617,224-54-1006
Citizens Financial Group,3608-2596-4160-1983,144-32-1285
SunTrust Banks,3608-2507-5724-1646,301-32-1995
Deutsche Bank,3608-2968-4329-1935,391-34-1093
American Express,3608-1192-4580-1056,138-44-1145
Discover Financial,3608-2751-5458-1344,301-32-1240
New York Community Bancorp,3608-1682-5756-1134,166-30-1583
Zions Bancorp,3608-1333-4329-1705,166-54-1483
State Street Corporation,3608-2507-5551-1693,323-46-1011
Mizuho Financial Group,3608-1782-4523-1637,166-34-1237
Wells Fargo,3608-2067-5983-1038,320-99-1871
New York Community Bancorp,3608-2181-5696-1804,287-55-1315
UBS,3608-2968-5745-1037,301-60-1327
First Republic Bank,3608-1333-4038-1435,279-74-1083
Discover Financial,3608-2588-4856-1064,138-30-1367
The Bank of New York Mellon,3608-1395-5750-1163,144-25-1479
New York Community Bancorp,3608-2067-5750-1613,279-23-1940
TD Bank. N.A.,3608-2181-4329-1718,144-25-1757
Synchrony Financial,3608-2800-4994-1428,216-55-1924
USAA,3608-1395-4994-1094,166-18-1101
The Bank of New York Mellon,3608-1192-5791-1631,429-99-1394
E-Trade,3608-1782-4445-1916,368-31-1108
Wells Fargo,3608-2968-4038-1109,408-74-1405
Mizuho Financial Group,3608-2751-4580-1761,323-18-1216
Huntington Bancshares,3608-2968-5489-1220,425-31-1891
KeyCorp,3608-1192-4668-1182,166-99-1492
Comerica,3608-2067-5030-1804,323-93-1435
Huntington Bancshares,3608-2596-4458-1613,216-44-1199
BMO Harris Bank,3608-1192-4856-1255,381-51-1259
Credit Suisse,3608-2800-5394-1960,287-60-1237
People's United Financial,3608-1395-4394-1916,166-18-1101
East West Bank,3608-1721-4318-1900,238-99-1914
New York Community Bancorp,3608-1682-4264-1960,287-32-1019
KeyCorp,3608-2507-4856-1188,238-23-1535
Popular. Inc.,3608-2067-5632-1181,339-93-1417
BBVA Compass,3608-1395-5988-1094,425-23-1828
MUFG Union Bank,3608-2751-5983-1399,116-54-1837
Wells Fargo,3608-2181-5015-1596,116-74-1038
Regions Financial Corporation,3608-1395-5988-1134,381-54-1312
Capital One,3608-2588-5766-1440,339-23-1501
BBVA Compass,3608-2800-5634-1629,279-51-1394
American Express,3608-2800-4445-1394,177-60-1768
The Bank of New York Mellon,3608-2968-5890-1673,238-85-1549
Barclays,3608-2751-5632-1399,166-81-1288
Wells Fargo,3608-2968-5015-1705,391-93-1907
BMO Harris Bank,3608-1682-5745-1121,177-60-2000
State Street Corporation,3608-1782-5458-1215,408-74-1519
The Bank of New York Mellon,3608-2067-5724-1839,287-83-1093
JPMorgan Chase,3608-1192-4523-1300,279-85-1758
East West Bank,3608-1395-4951-1637,323-44-1061
Wells Fargo,3608-1395-4458-1440,301-82-1050
East West Bank,3608-2751-4711-1936,368-93-1605
U.S. Bancorp,3608-2968-4318-1361,177-99-1331
E-Trade,3608-2507-4354-1936,224-30-1664
PNC Financial Services,3608-2067-4994-1056,339-30-1519
New York Community Bancorp,3608-1782-4383-1163,144-46-1489
TD Bank. N.A.,3608-2067-5696-1300,238-34-1011
New York Community Bancorp,3608-2751-5724-1596,339-32-1048
UBS,3608-1192-4580-1705,391-46-1171
BBVA Compass,3608-1782-5691-1220,238-23-1199
BMO Harris Bank,3608-2800-5890-1837,301-81-1753
Regions Financial Corporation,3608-2751-5196-1682,224-54-1468
Signature Bank,3608-2588-5459-1537,177-44-1985
Signature Bank,3608-2596-5038-1300,391-30-1038
Bank of America,3608-2800-4951-1278,144-51-2000
BBVA Compass,3608-2067-5038-1718,138-83-1811
Ally Financial,3608-1395-5983-1188,216-83-1914
New York Community Bancorp,3608-1192-4523-1435,339-54-1813
MUFG Union Bank,3608-2968-5756-1537,320-51-1469
Discover Financial,3608-2507-5152-1351,391-30-1643
Ally Financial,3608-1721-4657-1274,116-44-1148
HSBC Bank USA,3608-1395-4994-1274,144-82-1732
CIT Group,3608-1682-5196-1140,216-82-1629
Silicon Valley Bank,3608-1333-5459-1892,138-31-1882
Zions Bancorp,3608-1192-5724-1032,320-32-1193
UBS,3608-1682-5756-1053,144-31-1757
Barclays,3608-2067-5459-1129,116-31-1108
Ally Financial,3608-1395-4394-1838,408-99-1171
Charles Schwab Corporation,3608-1395-4038-1140,320-99-1286
Goldman Sachs,3608-2800-4994-1215,339-31-1747
Ally Financial,3608-1333-5459-1474,287-99-1378
Regions Financial Corporation,3608-2067-5724-1220,320-83-1733
Zions Bancorp,3608-2751-5196-1839,381-51-1489
Barclays,3608-2751-4264-1053,429-25-1158
People's United Financial,3608-1192-5634-1718,408-55-1331
Credit Suisse,3608-2181-4354-1593,166-32-1156
State Street Corporation,3608-2067-4458-1024,339-25-1489
BBVA Compass,3608-1682-4994-1188,320-18-1994
The Bank of New York Mellon,3608-1721-5696-1537,381-23-1851
Comerica,3608-2181-4383-1054,408-55-1093
SunTrust Banks,3608-2751-4038-1306,381-82-1489
M&T Bank,3608-2751-5152-1163,287-44-1994
Fifth Third Bank,3608-1782-4344-1216,287-93-1344
Bank of America,3608-2181-5745-1828,144-54-1048
U.S. Bancorp,3608-2800-5884-1583,138-51-1579
USAA,3608-1782-5691-1009,391-54-1731
U.S. Bancorp,3608-2596-4354-1497,301-30-1259
The Bank of New York Mellon,3608-1782-4264-1344,391-30-1643
New York Community Bancorp,3608-1721-4383-1361,381-23-1958
MUFG Union Bank,3608-2800-5791-1646,323-55-1519
East West Bank,3608-2181-5038-1185,368-44-1405
MUFG Union Bank,3608-2968-4342-1637,138-46-1324
Wells Fargo,3608-2751-4580-1744,408-18-1551
Goldman Sachs,3608-2968-4523-1794,216-18-1022
Huntington Bancshares,3608-1333-5988-1976,339-81-1858
Charles Schwab Corporation,3608-1682-5756-1407,339-23-1615
BNP Paribas,3608-2800-4236-1292,287-81-1083
American Express,3608-2800-4580-1054,408-81-1492
Goldman Sachs,3608-1721-4038-1935,301-31-1758
USAA,3608-2507-5691-1278,224-25-1603
Fifth Third Bank,3608-2800-4288-1936,339-60-1288
Comerica,3608-1333-5988-1916,166-18-1629
Popular. Inc.,3608-2507-5551-1038,301-54-1914
Fifth Third Bank,3608-1333-4951-1583,177-30-1620
JPMorgan Chase,3608-2067-4668-1637,224-25-1940
Credit Suisse,3608-1721-4264-1745,408-99-1757
East West Bank,3608-1682-5470-1614,339-30-1286
Fifth Third Bank,3608-2800-5132-1980,320-25-1615
Ally Financial,3608-1395-5988-1215,339-55-1583
Capital One,3608-2181-5724-1718,177-74-1731
USAA,3608-2800-5766-1744,166-51-1912
Citizens Financial Group,3608-2067-5459-1278,279-55-1615
Signature Bank,3608-1682-5015-1442,429-30-1514
Discover Financial,3608-1782-5132-1844,323-60-1269
JPMorgan Chase,3608-2596-4458-1931,224-83-1957
M&T Bank,3608-2507-4038-1637,368-93-1739
Signature Bank,3608-1192-5132-1583,144-82-1288
Citizens Financial Group,3608-2067-5152-1399,287-99-1286
BBVA Compass,3608-2596-4342-1597,116-99-1193
Popular. Inc.,3608-2588-5691-1844,425-85-1137
Zions Bancorp,3608-2800-4445-1558,323-44-1950
Morgan Stanley,3608-2800-5407-1828,323-55-1692
Credit Suisse,3608-2751-5634-1194,368-51-1093
Northern Trust Corporation,3608-1782-5196-1629,144-32-1442
Charles Schwab Corporation,3608-2067-5745-1915,216-99-1924
Capital One,3608-2507-5691-1614,429-23-1605
East West Bank,3608-2588-5696-1182,408-34-2000
Regions Financial Corporation,3608-1782-4329-1055,116-31-1108
First Republic Bank,3608-2751-5407-1121,320-81-1269
CIT Group,3608-1721-4160-1383,238-23-1535
Popular. Inc.,3608-2968-5988-1839,429-25-1981
Huntington Bancshares,3608-1721-5983-1518,238-31-1262
E-Trade,3608-1192-5470-1968,368-46-1259
Northern Trust Corporation,3608-1782-4668-1558,320-55-1507
MUFG Union Bank,3608-2588-5551-1194,279-81-1692
Comerica,3608-2067-4264-1589,238-85-1954
Mizuho Financial Group,3608-1782-5038-1476,339-99-1507
First Republic Bank,3608-2507-5691-1274,381-23-1435
Comerica,3608-2596-5745-1804,391-83-1291
BBVA Compass,3608-1192-5458-1056,279-99-1442
Fifth Third Bank,3608-1333-5884-1216,368-25-1602
BMO Harris Bank,3608-2507-4342-1614,408-32-1579
SunTrust Banks,3608-2507-4344-1597,238-46-1922
MUFG Union Bank,3608-1395-5750-1009,216-54-1629
USAA,3608-2751-5791-1130,301-25-1237
Barclays,3608-1333-5766-1960,320-51-1757
KeyCorp,3608-2800-4158-1646,301-60-1313
BMO Harris Bank,3608-1192-4264-1024,216-32-1101
Comerica,3608-1395-5988-1185,429-23-1519
First Republic Bank,3608-2751-4445-1745,323-85-1914
Wells Fargo,3608-2751-5691-1637,166-83-1856
Wells Fargo,3608-2181-5766-1761,238-81-1985
Popular. Inc.,3608-1333-4158-1188,339-18-1496
Huntington Bancshares,3608-2596-5756-1589,144-18-1811
USAA,3608-1395-5458-1064,279-18-1914
BMO Harris Bank,3608-2596-4354-1983,425-30-1511
U.S. Bancorp,3608-1333-4394-1054,391-23-1156
People's United Financial,3608-2596-5458-1629,138-54-1912
Comerica,3608-2067-4951-1686,408-31-1692
Wells Fargo,3608-1333-5015-1693,381-60-1759
CIT Group,3608-2968-4994-1181,279-18-1676
Zions Bancorp,3608-2968-5750-1216,287-85-1393
First Republic Bank,3608-1333-5196-1839,429-25-1479
First Republic Bank,3608-1782-5745-1214,408-46-1021
Wells Fargo,3608-2751-5638-1128,368-83-1612
Northern Trust Corporation,3608-2800-5152-1660,381-81-1703
New York Community Bancorp,3608-1333-4342-1014,381-85-1137
Fifth Third Bank,3608-2067-5196-1322,408-31-1676
Wells Fargo,3608-1721-4160-1265,177-93-1253
Capital One,3608-2507-4657-1682,301-99-1912
The Bank of New York Mellon,3608-2507-5766-1474,224-55-1108
American Express,3608-1682-5696-1804,408-60-1012
MUFG Union Bank,3608-2067-5691-1394,323-46-1828
UBS,3608-1682-4264-1936,177-18-1676
Morgan Stanley,3608-1782-5489-1856,323-85-1778
New York Community Bancorp,3608-2751-4711-1407,320-60-1872
SunTrust Banks,3608-2596-4329-1474,368-55-1914
Morgan Stanley,3608-1782-4329-1668,323-34-1345
Santander Bank,3608-1782-4342-1682,391-93-1747
PNC Financial Services,3608-1782-5458-1518,408-32-1226
Goldman Sachs,3608-1395-5890-1631,408-51-1828
East West Bank,3608-2751-5766-1795,381-81-1259
Bank of America,3608-2181-5333-1597,301-18-1981
Deutsche Bank,3608-2067-4856-1839,408-74-1492
U.S. Bancorp,3608-2800-4711-1968,381-83-1057
Wells Fargo,3608-2800-4342-1407,339-51-1383
Signature Bank,3608-2067-5407-1589,177-54-1378
Charles Schwab Corporation,3608-1192-4668-1629,408-55-1747
JPMorgan Chase,3608-2800-5038-1718,391-25-1778
UBS,3608-1782-5890-1128,138-34-1145
Morgan Stanley,3608-2067-4856-1182,144-51-1813
Discover Financial,3608-1782-5551-1053,144-99-1341
Ally Financial,3608-1782-4856-1054,116-93-1492
East West Bank,3608-2588-4458-1596,224-34-1940
M&T Bank,3608-1395-4005-1589,166-51-1093
Goldman Sachs,3608-1333-5489-1428,116-25-1992
Synchrony Financial,3608-1192-4160-1163,287-51-1288
Goldman Sachs,3608-2751-5988-1717,425-99-1858
Citigroup,3608-2968-5551-1476,116-34-1950
USAA,3608-1782-5750-1217,301-54-1050
USAA,3608-2596-4158-1134,279-82-1374
Charles Schwab Corporation,3608-2800-4354-1407,368-93-1448
BNP Paribas,3608-2588-5756-1245,391-82-1392
M&T Bank,3608-1333-5196-1844,138-85-1226
PNC Financial Services,3608-2596-5551-1428,323-23-1512
Goldman Sachs,3608-1192-4236-1407,144-44-1145
M&T Bank,3608-1333-5745-1157,238-81-1341
TD Bank. N.A.,3608-2067-4657-1190,166-44-1974
Huntington Bancshares,3608-2181-4458-1660,144-83-1329
HSBC Bank USA,3608-2751-5394-1194,320-81-1882
Northern Trust Corporation,3608-2507-4236-1306,425-54-1022
Barclays,3608-1333-5756-1614,287-46-1768
SunTrust Banks,3608-1721-4657-1383,408-82-1851
Mizuho Financial Group,3608-1721-5983-1344,144-46-1307
Wells Fargo,3608-1192-5691-1245,279-60-1922
State Street Corporation,3608-1395-4383-1821,425-30-1327
Signature Bank,3608-1192-4668-1839,425-74-1950
M&T Bank,3608-2181-5983-1306,116-99-1854
Zions Bancorp,3608-2067-4288-1983,339-54-1156
Bank of America,3608-2067-4342-1837,323-55-1605
Discover Financial,3608-2181-5407-1828,177-44-1061
BMO Harris Bank,3608-1192-4158-1629,138-34-1957
TD Bank. N.A.,3608-1782-5766-1037,339-81-1849
Signature Bank,3608-1333-5691-1761,287-23-1399
Wells Fargo,3608-2968-5638-1617,177-54-1057
BB&T,3608-1782-5890-1821,381-54-1778
M&T Bank,3608-2800-5756-1614,381-34-1074
USAA,3608-2800-4038-1597,391-25-1401
First Republic Bank,3608-2067-4318-1915,323-93-1051
JPMorgan Chase,3608-1721-4668-1935,238-55-1492
Charles Schwab Corporation,3608-2067-4160-1001,138-60-1020
East West Bank,3608-1333-5333-1892,216-44-1038
First Republic Bank,3608-2507-5196-1032,425-99-1332
Ally Financial,3608-2067-4856-1053,138-54-1423
Citizens Financial Group,3608-2800-5890-1306,425-34-1772
Silicon Valley Bank,3608-2968-4160-1163,323-93-1156
Deutsche Bank,3608-1192-5152-1593,116-46-1240
Citizens Financial Group,3608-2596-5724-1344,138-23-1145
Goldman Sachs,3608-1333-4288-1980,368-93-1718
CIT Group,3608-2751-5634-1351,425-81-1374
USAA,3608-1682-4160-1130,368-55-1512
SunTrust Banks,3608-2181-5459-1597,144-23-1825
MUFG Union Bank,3608-2181-4383-1407,177-31-1417
Northern Trust Corporation,3608-2067-4394-1198,339-60-1809
Comerica,3608-2507-5766-1837,116-74-1043
Northern Trust Corporation,3608-2067-4394-1537,381-18-1424
New York Community Bancorp,3608-1192-4856-1744,391-25-1341
Royal Bank of Canada,3608-2588-5459-1265,279-81-1262
M&T Bank,3608-2800-4344-1551,320-99-1882
People's United Financial,3608-1682-4523-1693,320-23-1158
BBVA Compass,3608-1682-5038-1361,144-25-1378
CIT Group,3608-1333-5632-1182,320-46-1338
Silicon Valley Bank,3608-2968-5132-1189,339-93-1723
HSBC Bank USA,3608-2968-5458-1465,323-74-1563
TD Bank. N.A.,3608-2800-5470-1055,279-54-1941
The Bank of New York Mellon,3608-1333-5459-1718,144-93-1772
Regions Financial Corporation,3608-2588-4668-1646,320-32-1950
Silicon Valley Bank,3608-2596-5696-1306,368-74-1283
Morgan Stanley,3608-2596-4523-1646,339-99-1020
Synchrony Financial,3608-2968-5470-1631,368-46-1891
TD Bank. N.A.,3608-2067-4458-1351,238-51-1676
Credit Suisse,3608-2588-4005-1596,287-31-1468
BBVA Compass,3608-2800-4445-1916,224-54-1739
Citigroup,3608-2751-5750-1220,408-74-1378
Zions Bancorp,3608-2596-5632-1094,287-51-1286
Capital One,3608-1395-4394-1274,429-30-1163
Wells Fargo,3608-1192-4994-1821,368-34-1768
MUFG Union Bank,3608-2067-4383-1056,339-85-1021
BNP Paribas,3608-1192-5750-1361,166-30-1994
People's United Financial,3608-2968-4329-1440,224-55-1680
Popular. Inc.,3608-2181-5750-1306,216-25-1551
BBVA Compass,3608-2751-5333-1189,279-93-1506
U.S. Bancorp,3608-2588-4394-1476,216-85-1813
Charles Schwab Corporation,3608-1721-5634-1300,116-99-1943
The Bank of New York Mellon,3608-1192-4318-1613,166-99-1235
MUFG Union Bank,3608-2181-4264-1844,368-46-1345
Popular. Inc.,3608-1333-4383-1705,425-82-1240
Goldman Sachs,3608-1395-4383-1593,381-60-1854
State Street Corporation,3608-2588-4005-1968,116-83-1922
M&T Bank,3608-2507-5890-1064,408-99-1022
Comerica,3608-1333-5691-1474,144-31-1301
Charles Schwab Corporation,3608-2507-4288-1428,216-99-1872
Wells Fargo,3608-1682-4383-1038,429-55-1643
BB&T,3608-2596-5470-1189,224-99-1479
State Street Corporation,3608-1192-5766-1673,408-82-1433
Mizuho Financial Group,3608-2181-4711-1794,279-32-1463
TD Bank. N.A.,3608-2588-5884-1215,408-55-1332
East West Bank,3608-1721-5132-1968,224-60-1757
Citizens Financial Group,3608-1333-5691-1244,287-54-1341
Wells Fargo,3608-1721-4158-1614,138-30-1602
E-Trade,3608-2800-4994-1916,287-82-1137
New York Community Bancorp,3608-1682-5638-1572,391-83-1940
BMO Harris Bank,3608-2181-5030-1068,381-44-1000
Deutsche Bank,3608-1395-4668-1435,144-25-1768
American Express,3608-1721-5691-1009,116-60-1339
Huntington Bancshares,3608-2596-4158-1976,323-55-1392
Credit Suisse,3608-2968-4994-1220,238-93-1067
USAA,3608-1192-5333-1055,429-93-1647
M&T Bank,3608-2800-5634-1244,425-25-1083
Comerica,3608-2507-5394-1761,216-25-1907
BNP Paribas,3608-2588-5196-1497,138-34-1367
Morgan Stanley,3608-2067-4711-1631,429-81-1943
MUFG Union Bank,3608-1721-4344-1804,116-34-1339
Regions Financial Corporation,3608-2596-5756-1053,287-18-1463
Synchrony Financial,3608-1682-5333-1804,429-32-1235
Signature Bank,3608-1682-4994-1163,166-82-1954
Santander Bank,3608-1192-4445-1440,339-93-1329
Capital One,3608-1721-4344-1828,408-93-1758
MUFG Union Bank,3608-2968-4856-1497,301-93-1331
USAA,3608-2596-5890-1157,320-55-1327
First Republic Bank,3608-2596-5691-1475,408-74-1301
BBVA Compass,3608-2596-5015-1794,301-99-1401
Zions Bancorp,3608-1682-5884-1980,166-23-1025
Credit Suisse,3608-2181-4038-1009,116-83-1237
Capital One,3608-2968-5691-1064,320-18-1050
Huntington Bancshares,3608-2507-5015-1497,301-34-1344
Royal Bank of Canada,3608-1192-5983-1383,408-30-1907
Deutsche Bank,3608-1192-5884-1603,144-44-1240
JPMorgan Chase,3608-1333-5196-1274,425-55-1950
Popular. Inc.,3608-2507-5132-1551,381-31-1603
People's United Financial,3608-2181-4994-1686,381-23-1727
E-Trade,3608-1333-5756-1718,381-93-1809
USAA,3608-2596-5132-1189,381-55-1307
State Street Corporation,3608-2751-5015-1935,138-74-1469
People's United Financial,3608-1395-4318-1121,408-34-1262
The Bank of New York Mellon,3608-2067-4523-1344,216-34-1074
PNC Financial Services,3608-2507-4458-1593,138-25-1854
Deutsche Bank,3608-1192-5766-1442,339-85-1620
BBVA Compass,3608-1782-4354-1931,368-34-1500
Zions Bancorp,3608-2800-5791-1631,144-54-1227
Goldman Sachs,3608-1333-4288-1377,323-46-1108
BB&T,3608-1682-4383-1189,339-83-1093
Citigroup,3608-1395-5459-1407,320-25-1158
Comerica,3608-1682-4458-1301,320-51-1393
Comerica,3608-2588-4523-1140,279-23-1851
E-Trade,3608-1721-4344-1589,279-31-1642
SunTrust Banks,3608-1782-4580-1603,320-74-1822
TD Bank. N.A.,3608-2588-4354-1900,166-31-1811
M&T Bank,3608-1782-5724-1163,323-55-1051
Synchrony Financial,3608-1682-5691-1064,144-44-1549
Huntington Bancshares,3608-1782-4445-1629,138-25-1315
Mizuho Financial Group,3608-1682-5038-1838,429-99-1727
Deutsche Bank,3608-1395-5632-1037,429-74-1759
Santander Bank,3608-2507-5724-1693,177-74-1680
U.S. Bancorp,3608-1782-5394-1999,238-60-1822
MUFG Union Bank,3608-1395-5696-1537,279-60-1093
JPMorgan Chase,3608-1782-5983-1856,368-46-1011
Morgan Stanley,3608-1333-4951-1190,138-44-1512
Ally Financial,3608-1192-5766-1646,323-30-1202
Signature Bank,3608-2181-5489-1518,320-74-1367
BMO Harris Bank,3608-1721-5745-1999,216-74-1985
KeyCorp,3608-2596-5489-1693,391-23-1545
The Bank of New York Mellon,3608-2181-5890-1399,166-34-1289
HSBC Bank USA,3608-2800-5333-1381,138-83-1759
Credit Suisse,3608-2067-5988-1220,224-30-1958
Deutsche Bank,3608-2800-5724-1474,381-30-1163
UBS,3608-1395-5632-1038,166-25-1489
Charles Schwab Corporation,3608-1721-4158-1931,320-85-1006
E-Trade,3608-2181-4264-1182,166-46-1579
Mizuho Financial Group,3608-2067-4038-1983,238-44-1048
HSBC Bank USA,3608-1395-4458-1190,144-30-1957
MUFG Union Bank,3608-1782-5724-1300,177-30-1974
U.S. Bancorp,3608-2507-4994-1968,301-46-1500
Capital One,3608-1333-5458-1465,368-93-1521
HSBC Bank USA,3608-2588-5983-1589,138-46-1512
UBS,3608-2968-5983-1037,301-54-1061
Ally Financial,3608-1395-5884-1617,224-82-1535
E-Trade,3608-2800-5766-1322,166-25-1758
Silicon Valley Bank,3608-1682-4580-1475,425-55-1655
Ally Financial,3608-2800-4856-1394,368-18-1529
Wells Fargo,3608-2596-5015-1705,368-34-1307
Morgan Stanley,3608-2067-4668-1597,381-83-1158
PNC Financial Services,3608-2800-5745-1593,391-51-1193
U.S. Bancorp,3608-2507-4856-1474,425-99-1545
Charles Schwab Corporation,3608-1395-5394-1583,429-54-1067
Fifth Third Bank,3608-1721-4005-1300,323-93-1479
New York Community Bancorp,3608-2751-4668-1475,224-55-1399
