ccntype,ccn,validthru,key,pin,quota
Citibank,3608-2968-4264-1761,2021-04-02,7582,603,1400
Citibank,3608-1782-4005-1185,2023-05-04,6215,514,1100
Wells Fargo,3608-2596-4668-1589,2020-08-23,3006,845,1100
Citibank,3608-2507-5196-1217,2022-11-02,4488,905,1100
PNC,3608-1333-5132-1355,2024-05-10,5889,370,1400
USAA,3608-1721-4342-1037,2019-07-10,5829,924,1500
PNC,3608-1333-5038-1278,2024-02-20,6303,522,1600
Chase,3608-1395-4354-1301,2025-08-14,3888,612,1600
MasterCard,3608-2751-4383-1157,2022-09-23,2062,869,1300
MasterCard,3608-1682-5459-1589,2025-06-21,4845,146,1700
U.S. Bank,3608-2968-5459-1597,2018-03-19,3071,371,2000
Citibank,3608-1192-4458-1631,2022-05-05,6300,569,1400
Bank of America,3608-2067-4329-1056,2022-05-20,4047,014,1200
Chase,3608-1782-5333-1839,2021-12-12,5206,992,1900
USAA,3608-2751-5459-1182,2022-04-06,5809,338,1600
MasterCard,3608-1721-5196-1442,2018-11-20,4154,620,1700
PNC,3608-1333-4711-1673,2023-07-24,4142,763,1700
U.S. Bank,3608-1395-5696-1623,2024-04-07,4318,733,1100
Chase,3608-2596-5132-1518,2019-12-30,3827,746,1500
Chase,3608-1682-5333-1617,2019-02-10,4370,586,1400
Wells Fargo,3608-2968-4951-1185,2022-09-15,6408,453,1200
Bank of America,3608-2588-4038-1935,2025-07-13,2638,361,1000
American Express,3608-1682-4394-1185,2023-11-28,5756,787,1800
Visa,3608-2751-5745-1245,2021-11-01,2077,827,1700
U.S. Bank,3608-1333-5394-1024,2025-04-18,4334,597,1900
MasterCard,3608-2596-4344-1442,2020-10-03,5940,585,1800
U.S. Bank,3608-1782-4342-1109,2022-01-04,2917,277,1500
Bank of America,3608-1721-5459-1399,2022-07-19,2149,993,2000
U.S. Bank,3608-1782-5038-1856,2018-05-02,3848,035,1200
Discover,3608-1395-5394-1744,2018-06-15,6068,333,1300
Wells Fargo,3608-2968-4994-1053,2021-12-13,2152,704,1800
Discover,3608-2751-4354-1980,2024-05-08,5411,978,1100
American Express,3608-1721-4657-1821,2018-11-17,3073,904,1800
Capital One,3608-2968-4160-1055,2020-12-03,2674,700,1700
Citibank,3608-1682-4657-1037,2022-06-05,6394,340,1300
USAA,3608-1333-4711-1377,2022-05-18,5205,840,1400
PNC,3608-1192-4160-1614,2024-07-01,5810,654,1200
American Express,3608-2588-5470-1474,2019-04-20,7384,324,1700
MasterCard,3608-2507-4458-1300,2022-12-16,3723,804,1200
Bank of America,3608-2751-5407-1300,2021-09-18,3069,117,1400
Wells Fargo,3608-2067-4158-1377,2023-04-12,2021,155,1200
Visa,3608-2588-5030-1705,2019-02-12,4805,073,1400
Discover,3608-1682-4856-1968,2020-08-23,6861,008,1900
BarclayCard US,3608-1192-4657-1637,2018-02-02,6128,171,1300
USAA,3608-1395-4158-1001,2021-09-13,5960,911,1400
MasterCard,3608-1333-4383-1631,2018-07-02,5601,291,1000
MasterCard,3608-2800-4158-1185,2024-12-13,3041,272,1000
Visa,3608-2067-5489-1558,2023-05-08,2870,481,1500
Bank of America,3608-2800-4160-1572,2019-08-02,4730,362,1300
BarclayCard US,3608-1682-5489-1442,2024-01-12,4703,721,1600
Wells Fargo,3608-2751-5696-1109,2018-04-23,2810,987,1900
Chase,3608-1721-4383-1795,2023-10-02,2237,879,1100
PNC,3608-2751-5015-1274,2018-07-15,4413,743,1900
Capital One,3608-2800-5632-1140,2024-09-24,6723,201,1000
USAA,3608-1333-5724-1440,2025-06-29,6046,126,1700
USAA,3608-1333-4038-1976,2018-06-11,2136,814,1500
Citibank,3608-1395-5890-1916,2020-10-19,3671,723,1400
Bank of America,3608-1682-4342-1300,2020-07-28,4244,479,2000
Wells Fargo,3608-2181-4158-1673,2023-08-13,6151,692,1200
Capital One,3608-2596-5696-1960,2021-02-24,6543,524,1900
MasterCard,3608-1782-5132-1794,2025-06-04,2072,153,1100
Visa,3608-1192-5638-1795,2020-01-06,5525,901,1900
BarclayCard US,3608-1333-5551-1301,2019-04-22,5491,704,1800
Wells Fargo,3608-1682-5333-1968,2021-01-30,5501,880,1300
Chase,3608-1782-4994-1837,2018-01-10,5790,740,1000
USAA,3608-2507-4318-1794,2023-06-14,2932,907,1300
Discover,3608-1333-5632-1037,2019-09-18,3019,375,1300
BarclayCard US,3608-2507-5724-1597,2020-03-10,4429,301,1000
U.S. Bank,3608-1192-4329-1551,2019-05-21,3650,055,1900
Chase,3608-2751-4580-1745,2025-02-23,4258,581,1900
Wells Fargo,3608-1682-4160-1572,2025-03-24,6839,321,1500
Discover,3608-2181-5632-1475,2018-07-30,5333,112,1000
Wells Fargo,3608-2181-5489-1278,2024-12-22,3104,598,1300
Discover,3608-1721-5489-1596,2018-06-26,2394,573,1500
Citibank,3608-1721-4994-1572,2023-10-07,7269,370,1600
Chase,3608-1333-5407-1518,2018-04-19,5018,827,1600
Chase,3608-2968-5470-1094,2023-08-09,5051,929,1000
Discover,3608-1721-5470-1009,2024-10-08,5335,218,1600
U.S. Bank,3608-1192-4329-1794,2018-12-29,4321,699,1800
USAA,3608-1333-4856-1068,2023-07-14,2856,754,1000
Citibank,3608-2968-4288-1182,2019-05-21,4354,779,1300
Chase,3608-1721-4458-1344,2019-11-03,3949,538,1600
USAA,3608-2596-4329-1274,2022-10-07,7114,423,1200
Bank of America,3608-2507-5750-1614,2025-08-03,4963,255,1700
Chase,3608-2800-4458-1181,2024-03-05,7087,731,1000
American Express,3608-1192-4523-1244,2018-03-28,6450,852,1600
Bank of America,3608-2800-4383-1597,2019-05-02,3738,826,1800
Citibank,3608-1682-5724-1558,2021-02-03,3716,317,1000
Wells Fargo,3608-1721-5884-1214,2018-11-18,6252,427,2000
Citibank,3608-2507-5152-1572,2020-05-11,2399,529,1000
Visa,3608-1682-4383-1134,2024-04-23,3319,010,1100
USAA,3608-2507-4458-1381,2022-11-04,6512,811,2000
Discover,3608-2751-5756-1129,2025-08-08,4904,849,1600
BarclayCard US,3608-2751-5152-1274,2018-06-29,2052,955,2000
Visa,3608-1682-5458-1055,2019-06-22,7935,146,1000
Chase,3608-1782-4264-1001,2023-12-19,3122,602,1500
U.S. Bank,3608-2507-5407-1558,2021-01-02,6623,194,1200
MasterCard,3608-2067-4329-1009,2024-01-25,2932,422,1000
U.S. Bank,3608-1192-5196-1355,2022-05-09,7612,438,1700
Discover,3608-1333-4236-1052,2023-11-22,4088,869,1100
Citibank,3608-1682-5470-1194,2020-10-14,5237,035,1000
Citibank,3608-2507-5407-1037,2020-01-13,7918,762,2000
Discover,3608-1721-4329-1361,2021-03-28,2195,463,1300
American Express,3608-2588-4329-1838,2022-12-03,4171,136,1900
Bank of America,3608-2507-5638-1821,2023-10-18,3320,882,1800
U.S. Bank,3608-1192-5766-1134,2023-11-19,7500,354,1100
Wells Fargo,3608-2968-5638-1693,2020-11-07,5195,294,2000
USAA,3608-2596-4288-1121,2023-03-06,3398,704,1600
Visa,3608-2507-5394-1292,2025-02-23,5282,126,1000
Capital One,3608-2507-4394-1682,2020-12-27,4309,511,1100
Wells Fargo,3608-2067-4394-1837,2020-09-16,5784,226,1100
MasterCard,3608-2596-5988-1440,2022-07-12,3978,733,1100
Discover,3608-2800-4329-1134,2018-04-04,5042,227,1200
Wells Fargo,3608-2751-5551-1744,2023-07-29,6806,771,1500
Visa,3608-1395-5890-1936,2023-12-15,7559,382,1500
USAA,3608-1395-5458-1300,2021-05-14,2201,453,1000
MasterCard,3608-2507-4445-1551,2018-08-31,4216,416,1500
USAA,3608-1395-4951-1682,2020-11-13,3410,470,1000
Capital One,3608-1721-4288-1629,2019-11-01,2427,075,1800
Chase,3608-2588-5638-1960,2020-11-22,6936,185,1100
U.S. Bank,3608-1333-4160-1623,2021-07-09,2402,764,1500
Bank of America,3608-1333-5459-1194,2019-12-18,3592,579,1100
USAA,3608-2800-5988-1094,2023-04-15,7589,824,1600
Citibank,3608-1192-5015-1744,2022-10-21,6589,592,1600
PNC,3608-1721-5030-1053,2019-10-12,3817,247,2000
Bank of America,3608-2067-4342-1032,2024-09-23,7135,933,1100
PNC,3608-2067-5791-1637,2018-07-07,3800,053,1400
Wells Fargo,3608-2751-5394-1440,2020-02-10,6218,765,1100
Bank of America,3608-2751-5333-1053,2025-04-22,3699,483,1900
Wells Fargo,3608-2588-4236-1037,2018-10-29,7171,103,1500
MasterCard,3608-2800-4445-1361,2025-08-25,6254,893,1600
Bank of America,3608-1333-4856-1718,2023-11-29,6219,345,1200
BarclayCard US,3608-1721-5890-1614,2025-09-14,4587,668,1900
American Express,3608-2181-4657-1129,2022-07-11,5520,291,1000
Visa,3608-1395-4394-1603,2022-01-03,5103,138,1700
MasterCard,3608-1192-5638-1056,2024-12-02,7009,062,1400
Wells Fargo,3608-2588-4668-1265,2021-04-29,5504,329,1400
American Express,3608-2968-5030-1301,2023-06-23,4942,131,1100
American Express,3608-2800-4951-1435,2019-03-08,4601,585,1800
Citibank,3608-2968-4711-1718,2023-11-23,5135,136,1300
BarclayCard US,3608-2067-4329-1351,2024-02-11,6711,025,2000
Chase,3608-1395-4445-1745,2025-10-26,3846,490,1700
U.S. Bank,3608-2800-5333-1064,2024-11-25,7059,212,1900
Wells Fargo,3608-2596-5750-1442,2019-08-11,6817,772,1700
Discover,3608-2751-5196-1094,2025-05-03,5857,241,1000
Capital One,3608-2751-4711-1435,2020-10-05,5488,529,1700
Visa,3608-2968-4160-1245,2019-12-11,4564,272,1500
Chase,3608-2596-4288-1614,2019-06-24,5832,563,1000
American Express,3608-2507-4580-1194,2025-07-17,7887,020,1400
BarclayCard US,3608-1682-4236-1558,2023-07-08,1991,692,1900
Visa,3608-1333-4668-1054,2022-07-17,3091,927,1900
Chase,3608-2588-4458-1220,2025-09-30,4045,472,1100
U.S. Bank,3608-1192-4344-1182,2018-03-22,6200,235,1300
Chase,3608-2588-4264-1037,2024-05-19,2700,192,1500
Visa,3608-1192-4038-1064,2019-06-18,4890,105,1100
USAA,3608-1782-4158-1377,2020-09-28,3537,653,1100
PNC,3608-2181-5634-1838,2019-01-07,5309,518,1300
U.S. Bank,3608-1721-5038-1064,2020-05-18,3035,896,1300
Chase,3608-2751-4329-1190,2018-08-29,2086,414,1700
Citibank,3608-1192-5691-1537,2025-01-02,4919,117,1500
Chase,3608-2588-4264-1717,2022-06-24,2734,665,1500
BarclayCard US,3608-1395-5890-1637,2025-11-08,3598,524,1300
Discover,3608-2507-5470-1217,2023-12-26,5086,619,1200
USAA,3608-1721-4342-1686,2019-04-08,5934,693,1500
Visa,3608-2751-5196-1428,2021-06-20,6897,001,2000
Capital One,3608-2800-4344-1497,2023-09-07,8022,450,1100
U.S. Bank,3608-2588-5632-1306,2024-10-04,7032,318,1200
Chase,3608-1721-5394-1128,2021-06-28,7994,950,1500
MasterCard,3608-1192-4318-1056,2020-03-13,6400,269,1900
Visa,3608-2067-5691-1795,2022-03-26,3062,703,1500
Wells Fargo,3608-2968-5791-1399,2019-10-08,2619,090,1800
BarclayCard US,3608-1721-5634-1306,2021-12-29,2081,292,1700
USAA,3608-2067-4005-1915,2020-03-24,4302,188,1500
BarclayCard US,3608-1682-4994-1394,2022-03-12,7891,584,1000
Bank of America,3608-2588-5152-1128,2021-08-22,2259,188,1200
USAA,3608-1782-5152-1935,2021-12-31,2709,981,2000
Capital One,3608-1192-4288-1980,2020-10-07,7629,218,1200
U.S. Bank,3608-1395-5551-1216,2021-01-19,4502,896,2000
PNC,3608-2968-5459-1394,2024-01-10,2024,325,1900
U.S. Bank,3608-2181-5152-1693,2021-10-07,7609,100,1800
PNC,3608-1192-4523-1646,2019-05-19,5066,265,2000
MasterCard,3608-2751-5152-1109,2022-04-21,5816,752,2000
Wells Fargo,3608-2181-5333-1613,2023-12-25,5098,839,1100
American Express,3608-2067-4580-1475,2024-11-11,3604,187,1400
MasterCard,3608-1333-5015-1629,2018-11-09,5014,228,1000
U.S. Bank,3608-1682-4158-1537,2020-10-19,3330,308,2000
U.S. Bank,3608-1782-5745-1718,2018-10-01,6966,188,2000
Citibank,3608-1192-5551-1129,2021-10-20,5699,696,1600
Capital One,3608-2507-5766-1589,2021-06-07,3421,884,1900
Chase,3608-1395-5333-1558,2019-04-25,2118,880,1200
Citibank,3608-1395-4318-1215,2019-01-26,5277,294,1700
Bank of America,3608-1721-4160-1014,2024-01-18,4253,327,1100
Visa,3608-2588-5196-1465,2019-03-14,5568,757,1400
PNC,3608-2067-4580-1892,2022-08-06,3603,893,1300
American Express,3608-1192-5551-1381,2021-08-07,4552,948,1500
U.S. Bank,3608-2596-5394-1255,2023-09-29,4227,377,1500
Chase,3608-1721-5632-1976,2023-04-22,3647,255,1300
Chase,3608-1192-5632-1198,2025-12-11,4140,703,1300
MasterCard,3608-1682-4354-1613,2018-04-05,2105,857,1400
MasterCard,3608-2507-4005-1475,2024-08-27,2696,035,1900
USAA,3608-1682-5038-1301,2025-01-09,3638,311,1100
USAA,3608-2588-5132-1931,2021-02-09,8014,290,1800
BarclayCard US,3608-2588-5333-1134,2018-05-09,6981,808,1400
Wells Fargo,3608-2800-5724-1163,2021-09-03,4776,299,1300
Visa,3608-2751-4668-1181,2024-10-28,4699,599,1000
USAA,3608-2751-4445-1839,2025-02-03,2104,419,1500
Capital One,3608-2507-5696-1465,2025-12-09,4844,568,1000
USAA,3608-2968-5407-1631,2023-07-15,2711,206,1600
PNC,3608-1782-5489-1355,2018-06-12,2029,470,1800
MasterCard,3608-1395-4383-1068,2020-07-11,3833,719,1100
American Express,3608-2181-4158-1637,2019-12-05,7116,989,1600
MasterCard,3608-2507-5152-1976,2018-07-05,5795,140,1800
PNC,3608-1192-4394-1597,2018-08-20,7008,291,1200
BarclayCard US,3608-1395-4994-1185,2021-08-26,7011,373,1500
Capital One,3608-1395-4354-1837,2023-11-21,3180,083,1400
Wells Fargo,3608-2588-5551-1668,2025-02-28,6474,679,1100
BarclayCard US,3608-2968-5890-1892,2021-12-07,6288,558,1800
Wells Fargo,3608-2067-5884-1440,2023-10-06,5393,714,1100
Discover,3608-2067-5745-1637,2023-10-17,4255,614,1500
U.S. Bank,3608-1192-4288-1245,2021-11-29,6494,418,1600
BarclayCard US,3608-2507-4951-1198,2025-04-28,3712,206,1500
Citibank,3608-2507-4445-1660,2021-03-25,5572,031,1300
Visa,3608-1395-4856-1440,2021-08-31,5599,419,1400
PNC,3608-2588-5470-1892,2020-09-15,5612,804,1400
USAA,3608-2181-4160-1440,2018-11-26,4455,881,1900
Visa,3608-2596-4264-1442,2020-02-22,7722,719,1700
MasterCard,3608-2800-4580-1216,2021-07-28,6101,204,1900
Chase,3608-1395-5988-1915,2019-11-30,2710,377,1600
American Express,3608-2968-4523-1442,2023-06-17,7093,557,1700
MasterCard,3608-2596-4951-1399,2023-01-15,4203,998,1800
Bank of America,3608-2800-5791-1442,2023-02-18,5859,633,1600
BarclayCard US,3608-2588-4158-1245,2022-05-24,5272,181,1200
U.S. Bank,3608-1192-4160-1745,2022-09-23,6026,190,1000
Chase,3608-2507-5750-1188,2023-01-15,5922,027,1300
Discover,3608-2588-4005-1617,2021-10-10,5411,710,1000
BarclayCard US,3608-2507-4038-1999,2018-09-13,7549,941,2000
U.S. Bank,3608-1782-5691-1194,2018-05-28,6611,529,2000
BarclayCard US,3608-1192-4458-1198,2022-01-16,4420,439,1600
MasterCard,3608-2588-4657-1936,2021-02-25,6830,792,1600
Chase,3608-1395-5696-1245,2025-07-11,7723,480,1500
MasterCard,3608-2800-4458-1056,2018-05-17,6550,907,1900
Discover,3608-1395-5724-1837,2023-07-22,6190,019,1700
Wells Fargo,3608-2968-5038-1094,2019-11-22,2174,164,2000
MasterCard,3608-2067-4994-1055,2021-12-18,6116,360,1600
American Express,3608-2968-4523-1744,2022-12-26,4672,810,1000
Visa,3608-1682-4005-1968,2022-12-04,5339,938,1800
Bank of America,3608-1682-4342-1428,2019-01-01,3645,334,1900
Chase,3608-1192-4318-1190,2022-10-28,3850,646,1600
MasterCard,3608-1682-5152-1056,2020-11-10,3275,493,1500
MasterCard,3608-2751-4288-1614,2020-08-25,5547,399,1600
Visa,3608-2067-4711-1915,2023-12-14,3527,870,1100
U.S. Bank,3608-1192-5696-1804,2022-11-06,4132,050,1700
Wells Fargo,3608-1333-4523-1761,2019-06-24,5248,065,1900
American Express,3608-1721-4394-1795,2023-08-12,2984,264,1100
BarclayCard US,3608-1682-4383-1804,2018-02-22,5705,195,1600
American Express,3608-1721-5791-1244,2023-08-19,4220,032,1500
USAA,3608-2596-5988-1163,2022-03-08,7065,202,1300
American Express,3608-1721-5459-1381,2019-06-25,3217,278,1900
BarclayCard US,3608-1721-5750-1442,2020-08-03,7486,204,1900
Visa,3608-2067-4856-1900,2021-10-24,5324,139,1800
Bank of America,3608-2588-5691-1936,2023-06-20,3956,011,1400
MasterCard,3608-1682-5038-1344,2022-08-22,3117,814,1900
Citibank,3608-1721-5791-1128,2020-09-07,6038,185,1700
Bank of America,3608-2800-5152-1761,2022-09-20,7443,157,1900
Visa,3608-1333-4329-1109,2020-02-08,5675,220,1200
BarclayCard US,3608-2588-4580-1597,2018-07-16,4675,346,1400
Citibank,3608-1782-4383-1673,2023-09-26,5910,608,1600
BarclayCard US,3608-2507-4856-1828,2023-08-27,7132,444,1200
U.S. Bank,3608-2800-4005-1794,2025-08-05,2014,254,1500
Wells Fargo,3608-2181-4288-1718,2020-05-15,6215,546,2000
Capital One,3608-2507-4236-1053,2018-08-28,5479,023,1800
MasterCard,3608-1721-5030-1613,2022-04-10,6787,109,1500
Discover,3608-1721-5724-1381,2024-11-29,7382,692,1800
Capital One,3608-1782-4264-1009,2021-11-08,4412,082,1300
Discover,3608-2800-5750-1804,2023-09-24,6254,083,1400
Citibank,3608-2067-4523-1024,2024-06-28,4737,888,1500
Capital One,3608-1192-4264-1182,2023-06-17,4239,466,1800
Visa,3608-2507-4236-1551,2023-06-02,6380,686,1300
Wells Fargo,3608-1782-4318-1407,2021-04-10,3360,287,1700
Chase,3608-1333-4160-1686,2018-02-02,5971,334,1900
PNC,3608-2800-5394-1001,2018-06-09,7560,413,1200
USAA,3608-1192-4264-1189,2024-04-02,4854,611,1300
Capital One,3608-1192-4236-1014,2022-10-28,3276,201,1400
Wells Fargo,3608-1192-4951-1381,2021-09-11,5737,034,1700
Wells Fargo,3608-1192-5756-1589,2020-01-15,2113,973,1700
Chase,3608-1782-4160-1351,2020-07-19,2564,488,1400
Chase,3608-2751-5458-1181,2022-09-07,2901,551,1300
Capital One,3608-1395-5152-1185,2025-08-03,7702,480,1100
Bank of America,3608-1333-5394-1377,2023-04-01,2622,599,1900
BarclayCard US,3608-2067-4383-1686,2019-12-05,3455,897,1900
PNC,3608-2067-5884-1931,2022-01-12,6915,919,1800
PNC,3608-1682-5394-1001,2019-08-24,2450,633,1700
Citibank,3608-2067-5724-1198,2018-12-17,4596,838,1400
BarclayCard US,3608-2507-4951-1795,2020-12-23,7514,428,1800
USAA,3608-1395-4354-1856,2024-12-06,7392,749,1500
USAA,3608-2751-5884-1037,2022-08-18,4873,131,1300
PNC,3608-1395-5394-1054,2019-02-01,4126,601,1500
Capital One,3608-2751-4711-1278,2019-06-13,4604,184,1500
Visa,3608-2596-5407-1637,2020-11-01,4567,993,1600
USAA,3608-2968-4523-1693,2022-10-10,7559,682,1700
U.S. Bank,3608-1395-5407-1968,2023-10-05,4910,749,1100
Citibank,3608-2181-4005-1121,2022-08-17,4030,902,1800
Wells Fargo,3608-2181-4994-1558,2019-11-30,5137,511,1500
Bank of America,3608-2507-5983-1301,2018-07-01,7398,183,1400
U.S. Bank,3608-2751-5988-1631,2021-04-28,2090,201,1500
MasterCard,3608-2596-5489-1053,2020-01-14,5069,827,1400
Discover,3608-1721-5638-1916,2023-05-31,7916,610,1700
USAA,3608-2181-5152-1278,2022-06-25,6915,195,1500
American Express,3608-2800-5458-1631,2025-09-20,3582,999,1900
Visa,3608-2751-5152-1407,2023-04-27,5220,283,1000
Capital One,3608-1682-5696-1537,2020-09-29,2789,053,1400
Visa,3608-2596-5745-1216,2021-08-26,6109,962,1400
Wells Fargo,3608-2067-5470-1214,2021-10-09,2256,705,1100
PNC,3608-1682-4668-1220,2023-02-08,4695,898,1800
PNC,3608-2067-5458-1518,2021-01-16,6967,595,2000
Capital One,3608-1721-5030-1244,2020-11-29,2480,695,1000
MasterCard,3608-2800-4668-1300,2023-05-05,6464,296,1100
USAA,3608-1782-5696-1589,2018-05-27,5985,674,1500
Bank of America,3608-2067-4160-1761,2023-08-20,7315,185,1800
USAA,3608-2181-4318-1603,2020-12-28,5456,062,1300
PNC,3608-2181-5766-1383,2019-02-21,2681,496,1000
Capital One,3608-2588-5791-1140,2019-01-09,5756,299,1900
Visa,3608-2800-5132-1129,2025-05-22,3527,930,1500
Citibank,3608-1782-5458-1900,2025-06-11,2547,060,1600
Citibank,3608-2751-4264-1686,2023-05-23,6672,898,1500
USAA,3608-2751-4236-1032,2024-07-06,3596,814,2000
U.S. Bank,3608-1192-4288-1188,2022-06-24,4550,127,1500
MasterCard,3608-2067-5333-1130,2020-09-06,5689,096,1200
Wells Fargo,3608-2067-4458-1055,2025-09-20,3581,758,1700
Chase,3608-2067-5638-1821,2024-12-22,5493,365,1800
BarclayCard US,3608-2181-5634-1892,2024-05-09,6775,164,1200
Discover,3608-2968-5884-1355,2021-05-09,4766,745,1900
Citibank,3608-1192-4711-1837,2019-01-14,3246,727,1900
PNC,3608-2588-4236-1583,2025-07-18,5193,279,1800
Chase,3608-1192-5745-1245,2024-09-11,5932,159,1800
PNC,3608-1192-4264-1745,2021-07-01,7369,812,2000
USAA,3608-2968-5458-1129,2025-03-27,2325,771,2000
BarclayCard US,3608-2751-4657-1589,2019-03-02,7094,598,2000
Capital One,3608-2588-4344-1064,2024-12-06,7292,419,1300
Visa,3608-1333-5691-1839,2024-07-20,6211,370,1600
Bank of America,3608-1192-5015-1300,2023-09-24,7610,654,1200
Citibank,3608-1333-5038-1245,2019-05-12,1986,424,1200
Chase,3608-1192-5632-1614,2025-09-16,2426,082,1900
Wells Fargo,3608-1721-5766-1274,2023-10-09,7269,946,1100
Discover,3608-2968-5459-1215,2025-07-17,6823,661,1000
U.S. Bank,3608-2588-5988-1128,2023-01-15,2736,054,1800
American Express,3608-2588-4264-1999,2020-08-11,7814,021,1600
Citibank,3608-2067-5030-1244,2022-07-11,2566,059,1300
Bank of America,3608-2588-4668-1744,2023-02-01,6143,725,2000
USAA,3608-1721-4160-1603,2021-04-14,2208,432,1000
MasterCard,3608-2800-4856-1399,2023-10-03,1963,989,1100
Wells Fargo,3608-2507-4158-1054,2020-07-11,5131,756,1200
Chase,3608-2751-5638-1465,2019-04-28,5825,842,1800
Discover,3608-1192-5988-1056,2018-05-07,7376,018,1200
Citibank,3608-2968-4329-1140,2023-10-18,7896,184,1300
Visa,3608-1721-5132-1121,2024-12-22,6193,754,1400
Discover,3608-1721-5489-1265,2023-07-24,7081,649,1300
Visa,3608-1192-4354-1032,2021-09-02,5479,504,1600
Visa,3608-1782-4354-1613,2024-09-18,3050,470,1700
USAA,3608-1333-4458-1931,2022-07-15,3448,636,1300
PNC,3608-2968-4383-1129,2019-10-24,5640,758,1100
U.S. Bank,3608-2181-4711-1631,2020-11-24,7979,919,1500
USAA,3608-2181-4668-1355,2023-07-04,2006,221,1000
Discover,3608-1333-4711-1220,2023-08-07,5490,957,1700
Wells Fargo,3608-2968-4160-1596,2019-05-28,3666,408,1100
American Express,3608-2968-4288-1068,2019-10-15,6243,455,1700
U.S. Bank,3608-2181-5724-1407,2018-06-14,3601,359,1100
MasterCard,3608-1333-4458-1220,2018-02-25,2953,077,1300
Wells Fargo,3608-2067-5489-1623,2019-07-10,4620,631,1900
Discover,3608-2968-4668-1597,2025-09-23,5209,579,1800
Discover,3608-1682-5489-1056,2021-05-29,7653,612,1600
USAA,3608-2181-5459-1214,2021-03-02,4600,463,1700
Visa,3608-2588-5030-1442,2021-08-15,1964,215,1700
PNC,3608-1682-5696-1361,2025-04-18,2942,343,1300
American Express,3608-1721-4158-1596,2020-07-02,4556,345,1800
Visa,3608-2596-5766-1053,2019-10-20,6441,432,1500
MasterCard,3608-2067-5691-1068,2022-12-29,6892,106,1400
USAA,3608-2800-4344-1377,2024-09-28,4169,660,1700
PNC,3608-1192-5988-1631,2018-10-13,4082,442,1100
Capital One,3608-2181-5489-1001,2018-11-11,2284,236,1800
PNC,3608-2067-5890-1053,2019-10-31,4949,612,1300
Citibank,3608-1395-4005-1915,2019-01-31,4691,676,1500
Chase,3608-1782-5394-1134,2019-08-31,6622,450,1100
Bank of America,3608-2800-5038-1915,2020-11-06,4908,218,2000
PNC,3608-2751-5988-1094,2021-09-04,4219,974,1800
American Express,3608-2751-4394-1244,2021-02-21,5984,968,1100
Bank of America,3608-1682-4158-1631,2022-05-05,2328,099,1300
PNC,3608-2596-4711-1037,2022-05-08,7770,329,1500
Chase,3608-1333-4354-1181,2019-11-25,4107,918,1900
Wells Fargo,3608-2596-5890-1976,2018-05-22,6728,836,1700
Wells Fargo,3608-1192-4394-1130,2022-09-24,3183,575,1800
Wells Fargo,3608-1395-5489-1189,2021-06-25,7870,296,1900
Wells Fargo,3608-1395-4994-1838,2019-01-24,7825,013,1100
BarclayCard US,3608-1721-5333-1497,2020-12-27,4020,802,1400
Visa,3608-2181-5489-1399,2021-04-17,4459,003,1400
Visa,3608-1192-5724-1916,2018-10-03,6385,834,1000
Discover,3608-1333-4038-1682,2021-11-09,3803,130,1700
American Express,3608-1682-4005-1217,2023-08-01,2216,129,1200
Capital One,3608-2507-4236-1537,2022-06-09,7505,398,1200
U.S. Bank,3608-2968-4383-1629,2022-08-27,7886,761,1900
American Express,3608-2751-5132-1589,2019-10-26,5812,278,1100
Capital One,3608-2751-4383-1056,2018-10-17,4110,523,1300
PNC,3608-1192-5750-1052,2018-10-22,3532,197,1500
Capital One,3608-2181-4383-1999,2021-11-09,7034,328,1000
Capital One,3608-2507-4445-1056,2018-07-01,3537,656,1800
Discover,3608-2507-5394-1660,2019-12-15,6905,107,2000
Citibank,3608-2596-4856-1551,2021-07-29,3830,340,1100
Bank of America,3608-1333-4342-1617,2018-01-22,3497,875,1600
Wells Fargo,3608-2507-5634-1614,2022-04-30,6846,985,1600
Chase,3608-2800-4329-1344,2018-07-18,2407,854,1700
Bank of America,3608-1333-4158-1476,2022-12-16,4847,647,1100
USAA,3608-2800-4580-1558,2021-07-12,7569,406,1500
PNC,3608-1192-4383-1960,2018-05-27,3556,498,1900
Discover,3608-1782-4668-1976,2019-05-30,6511,219,1300
American Express,3608-1333-4329-1300,2022-10-08,4480,927,1300
Discover,3608-2067-5983-1589,2019-03-02,7631,821,1900
PNC,3608-1721-5632-1617,2023-08-31,2093,842,1200
Chase,3608-2067-4580-1960,2025-03-26,5168,439,1000
Discover,3608-1395-5015-1476,2023-02-14,6497,161,1500
MasterCard,3608-2067-5638-1837,2023-08-22,4014,494,1600
Chase,3608-1782-4951-1915,2020-07-29,7566,330,2000
American Express,3608-2596-5750-1476,2018-03-17,4434,768,1700
Citibank,3608-1682-5394-1190,2022-08-18,6465,155,1300
Wells Fargo,3608-2588-5988-1497,2023-11-27,3792,434,1300
Bank of America,3608-2968-4394-1140,2022-04-01,6236,950,1600
American Express,3608-1333-5634-1220,2019-12-12,6736,385,1100
American Express,3608-1682-4160-1440,2025-07-30,2736,938,1000
Wells Fargo,3608-2800-4951-1399,2024-10-26,4920,657,1600
U.S. Bank,3608-2181-5551-1935,2019-02-22,4031,548,2000
PNC,3608-1395-5458-1140,2020-04-11,3610,054,1700
Chase,3608-2596-5638-1617,2023-05-12,6025,684,1000
